ID,COD_SET_ZO,COD_QDR_ZO,COD_LOG_ZO,COD_CNDM_Z,COD_LOTE_Z,SGL_SUBP_E,SGL_DSTR_E,COD_TSTD_Z,IND_VRFC_E,IND_EXCL_I,SGL_ZONA_0,COD_PRMR_0,SGL_LNDR_0,COD_TIP_LE,COD_LEGC_0,ANO_LEGC_0,IND_ADCA_C,SGL_ZONA_1,COD_PRMR_1,SGL_LNDR_1,COD_TIP__1,COD_LEGC_1,ANO_LEGC_1,SGL_ZONA_2,COD_PRMR_2,SGL_LNDR_2,COD_TIP__2,COD_LEGC_2,ANO_LEGC_2,SGL_ZONA_3,COD_PRMR_3,SGL_LNDR_3,COD_TIP__3,COD_LEGC_3,ANO_LEGC_3,SGL_ZONA_4,COD_PRMR_4,SGL_LNDR_4,COD_TIP__4,COD_LEGC_4,ANO_LEGC_4,SGL_ZONA_5,COD_PRMR_5,SGL_LNDR_5,COD_TIP__5,COD_LEGC_5,ANO_LEGC_5,COD_AREA_C,COD_AREA_L,COD_END_LO,COD_NUM_PO,COD_SIT,VALOR_MET_,VALOR_ME_1,NUM_PAV,SGL_ZON_UR,ANO_CONST,IND_EXCL_O,TXT_OBS_01,NOME_CID_E,NOME_EST_E,REG_LIM_AD
"060016111597000043","060","016","111597","00","0043",PE,CNG,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"2",,,"0","0",MA,"8",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",56.00,72.00,R JOSE PINHEIRO,"364",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE  1
"055108175765000043","055","108","175765","00","0043",AR,CAR,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",164.00,100.00,R SABOO,"95",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE  1
"113213140686000029","113","213","140686","00","0029",PE,AAL,"1",S,S,ZEU,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",105.00,135.00,R DR MOACIR TAVOLARO,"93",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE  1
"111513697885040000","111","513","697885","04","0000",EM,ERM,"1",S,S,ZM,"0",,,"0","0",S,QA,"2",,,"0","0",MA,"8",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,595.00,R VALDEMAR AMARANTE,"97",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"055230012220000300","055","230","012220","00","0300",AR,VFO,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",112.00,143.00,R ANAMBES,"95",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE  1
"113213140686000028","113","213","140686","00","0028",PE,AAL,"1",S,S,ZEU,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",105.00,135.00,R DR MOACIR TAVOLARO,"93",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE  1
"110322148903010000","110","322","148903","01","0000",EM,PRA,"2",S,S,ZEUP,"0",,,"0","0",S,QA,"2",,,"0","0",MA,"8",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,250.00,R BARRA DA FIGUEIRA,"27",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"100095190896000057","100","095","190896","00","0057",VP,VPR,"2",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,5162.00,R TORQUATO TASSO,"965",R,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE  1
"055230012220000301","055","230","012220","00","0301",AR,VFO,"1",S,S,ZM,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",128.00,147.00,R ANAMBES,"99",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE  1
"059131143073030000","059","131","143073","03","0000",PE,PEN,"1",S,S,ZEU,"0",,,"0","0",S,QA,"6",,,"0","0",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,510.00,R MUNICIPAL,"942",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE  1
